short_subject,short_ssd,short_nstoptrials,short_n_matched_go,short_mean_violation,short_mean_stopFailureRT,short_mean_precedingGoRT,short_condition,intermediate_subject,intermediate_ssd,intermediate_nstoptrials,intermediate_n_matched_go,intermediate_mean_violation,intermediate_mean_stopFailureRT,intermediate_mean_precedingGoRT,intermediate_condition,long_subject,long_ssd,long_nstoptrials,long_n_matched_go,long_mean_violation,long_mean_stopFailureRT,long_mean_precedingGoRT,long_condition
1,0.0,5.0,4.0,-38.75,217.0,255.75,300,1,75.0,15.75,7.5,14.104861111111111,353.2520833333333,339.1472222222222,500,1,75.0,10.5,3.25,2.291666666666666,406.125,403.83333333333337,700
2,75.0,23.75,9.0,-5.111111111111111,296.88194444444446,301.9930555555556,300,2,125.0,40.0,14.0,-50.0,313.69696969696975,363.69696969696975,500,2,150.0,31.0,4.0,-13.5,321.75,335.25,700
3,50.0,18.333333333333332,9.666666666666666,-32.31018518518518,288.6388888888889,320.9490740740741,300,3,75.0,16.25,6.25,-1.4416666666666664,352.05,353.4916666666667,500,3,75.0,20.25,9.5,-12.800595238095237,357.9375,370.73809523809524,700
5,75.0,24.25,7.5,10.928571428571432,406.73511904761904,395.80654761904765,300,5,125.0,20.0,4.0,65.0,469.83333333333337,404.83333333333337,500,5,150.0,12.0,2.0,72.0,495.0,423.0,700
8,75.0,26.75,11.5,-7.8,321.10435606060605,328.90435606060606,300,8,100.0,22.333333333333332,7.333333333333333,19.674603174603178,500.62698412698415,480.95238095238096,500,8,125.0,11.0,4.5,16.333333333333336,410.58333333333337,394.25,700
9,75.0,23.75,10.0,-37.96527777777777,377.33867521367523,415.303952991453,300,9,100.0,28.0,9.666666666666666,-3.870129870129872,387.2337662337662,391.10389610389615,500,9,150.0,22.0,4.0,77.25,383.25,306.0,700
10,0.0,2.0,2.0,26.5,277.5,251.0,300,10,50.0,6.0,4.5,7.25,368.82142857142856,361.57142857142856,500,10,75.0,17.5,7.5,3.5705357142857137,378.72232142857143,375.1517857142857,700
11,75.0,25.0,9.75,3.5125,323.81875,320.30625,300,11,100.0,28.0,8.666666666666666,-20.400000000000002,413.33039215686273,433.73039215686276,500,11,125.0,33.0,9.0,5.0,413.55357142857144,408.55357142857144,700
13,75.0,18.75,8.5,-17.470238095238095,357.9428571428571,375.41309523809525,300,13,100.0,25.666666666666668,9.333333333333334,25.87087912087912,414.6236263736264,388.7527472527472,500,13,100.0,20.0,7.0,66.04166666666666,439.66666666666663,373.625,700
14,50.0,7.0,4.333333333333333,20.86111111111111,308.9444444444444,288.0833333333333,300,14,75.0,23.0,9.5,-19.854166666666668,378.46875,398.3229166666667,500,14,75.0,23.25,10.5,24.752472527472527,418.67884615384617,393.9263736263737,700
16,25.0,11.5,6.0,-14.2,250.75714285714287,264.95714285714286,300,16,75.0,22.25,8.25,0.25454545454545485,351.9670454545454,351.71250000000003,500,16,100.0,19.0,5.666666666666667,-20.6,461.09999999999997,481.7,700
17,75.0,20.75,8.25,0.9025974025974026,395.5219155844156,394.61931818181824,300,17,75.0,18.0,6.25,30.5,451.45000000000005,420.95000000000005,500,17,125.0,24.5,10.5,3.60576923076923,452.2692307692308,448.66346153846155,700
18,75.0,25.0,11.0,-6.039262820512819,337.97035256410254,344.00961538461536,300,18,100.0,29.666666666666668,11.0,-14.545454545454545,373.6884135472371,388.2338680926916,500,18,125.0,24.0,5.0,-87.47619047619048,352.3095238095238,439.7857142857143,700
20,75.0,17.0,8.75,-6.61388888888889,338.18333333333334,344.7972222222222,300,20,75.0,22.25,8.25,-14.323529411764707,391.64485294117645,405.96838235294115,500,20,83.33333333333333,18.333333333333332,7.0,37.205555555555556,420.46111111111105,383.25555555555553,700
21,75.0,26.5,11.0,-27.29166666666667,327.8020833333333,355.09375,300,21,125.0,37.5,13.0,-30.743055555555557,369.50694444444446,400.25,500,21,150.0,39.0,10.0,-33.2,372.1,405.3,700
23,66.66666666666667,9.666666666666666,5.0,34.18412698412698,344.5047619047619,310.32063492063486,300,23,100.0,29.666666666666668,12.333333333333334,15.066666666666668,404.256038647343,389.1893719806763,500,23,100.0,20.333333333333332,8.0,38.986111111111114,433.2083333333333,394.22222222222223,700
24,50.0,12.0,5.0,-0.9555555555555557,283.7,284.65555555555557,300,24,75.0,21.25,8.75,25.29193722943723,361.65043290043286,336.35849567099564,500,24,100.0,25.333333333333332,7.666666666666667,30.380952380952383,412.5714285714286,382.1904761904762,700
25,75.0,7.25,4.0,-53.90833333333333,327.375,381.2833333333333,300,25,75.0,17.5,8.25,1.8972222222222221,403.5,401.60277777777776,500,25,66.66666666666667,12.0,4.333333333333333,13.055555555555555,450.3148148148148,437.2592592592593,700
28,75.0,21.0,9.75,-18.140530303030303,316.5776515151515,334.71818181818185,300,28,75.0,19.5,7.25,13.760416666666664,403.8833333333333,390.1229166666667,500,28,83.33333333333333,16.0,5.333333333333333,-24.233333333333334,398.1166666666666,422.34999999999997,700
30,75.0,18.25,7.25,-35.64781746031746,293.3204365079365,328.968253968254,300,30,100.0,32.333333333333336,11.333333333333334,-38.53333333333333,333.1611111111111,371.6944444444444,500,30,125.0,34.0,9.0,-45.80357142857143,341.8392857142857,387.6428571428571,700
32,75.0,18.25,7.0,-38.66597222222222,341.5465277777778,380.2125,300,32,75.0,23.25,9.0,-18.083566433566432,363.15944055944055,381.243006993007,500,32,100.0,28.333333333333332,11.666666666666666,-32.53650793650794,366.37301587301585,398.90952380952376,700
35,75.0,20.5,7.5,29.85768398268398,431.8192640692641,401.9615800865801,300,35,100.0,16.0,5.666666666666667,-5.444444444444443,399.1203703703704,404.5648148148148,500,35,100.0,11.0,2.3333333333333335,46.444444444444436,444.6111111111111,398.1666666666667,700
37,75.0,14.5,6.25,-30.464285714285715,405.6166666666667,436.0809523809524,300,37,75.0,19.25,10.0,6.833333333333332,436.9176136363636,430.0842803030303,500,37,75.0,19.25,7.75,21.938988095238095,541.2465277777778,519.3075396825396,700
38,75.0,23.25,10.25,-8.208374958374959,265.81156343656346,274.0199383949384,300,38,125.0,41.0,14.5,-23.681159420289852,322.6811594202899,346.3623188405797,500,38,100.0,25.666666666666668,10.0,-16.37037037037037,309.27777777777777,325.6481481481482,700
39,75.0,9.25,5.25,-65.9389880952381,270.1860119047619,336.125,300,39,75.0,12.5,5.25,-35.75357142857143,370.3910714285714,406.1446428571429,500,39,75.0,23.5,9.5,-5.43808275058275,335.7698135198135,341.2078962703963,700
40,50.0,21.0,9.333333333333334,-26.323376623376628,313.287012987013,339.6103896103896,300,40,100.0,27.333333333333332,10.333333333333334,-50.95175438596491,330.0109649122807,380.96271929824564,500,40,100.0,19.333333333333332,5.333333333333333,16.651851851851852,417.17407407407404,400.5222222222222,700
41,25.0,7.0,4.5,-37.35,290.875,328.225,300,41,75.0,17.5,9.5,13.22348484848485,399.38560606060605,386.16212121212124,500,41,75.0,13.25,4.75,6.1875,449.81666666666666,443.62916666666666,700
42,75.0,24.75,9.5,23.004621848739497,354.98025210084035,331.9756302521008,300,42,125.0,30.5,7.5,49.0,442.875,393.875,500,42,150.0,12.0,2.0,-43.5,461.0,504.5,700
43,75.0,13.5,6.5,-18.03125,347.52678571428567,365.5580357142857,300,43,75.0,14.75,8.75,27.193055555555556,387.36805555555554,360.175,500,43,75.0,23.0,11.25,-13.025,369.08214285714286,382.10714285714283,700
45,25.0,6.5,4.0,-96.83333333333334,319.66666666666663,416.5,300,45,75.0,12.25,7.5,32.93452380952381,420.0357142857143,387.1011904761905,500,45,75.0,9.25,5.5,14.898809523809526,442.01190476190476,427.11309523809524,700
47,25.0,11.5,8.5,60.80769230769231,386.8557692307692,326.0480769230769,300,47,75.0,23.75,11.0,-13.940441176470586,408.64387254901965,422.58431372549023,500,47,100.0,23.333333333333332,7.666666666666667,-31.48076923076923,427.80982905982904,459.2905982905983,700
48,75.0,19.25,9.5,-33.00492216117216,309.0364010989011,342.0413232600733,300,48,75.0,21.5,9.0,-10.602272727272727,343.4876893939394,354.0899621212121,500,48,125.0,27.5,12.0,-21.535714285714285,339.36428571428576,360.9,700
49,125.0,29.5,9.0,12.75,456.70833333333337,443.95833333333337,300,49,100.0,10.666666666666666,3.3333333333333335,-42.166666666666664,451.75,493.91666666666674,500,49,125.0,11.5,3.0,33.25,569.75,536.5,700
50,75.0,16.75,8.25,-47.80555555555556,289.46875,337.27430555555554,300,50,100.0,22.666666666666668,6.333333333333333,-8.709401709401705,389.4871794871795,398.19658119658123,500,50,125.0,25.5,8.0,-17.127272727272725,411.24545454545455,428.3727272727273,700
52,75.0,11.0,4.25,-27.475,296.1541666666667,323.62916666666666,300,52,75.0,20.75,10.0,-1.2829982517482512,381.83719405594405,383.1201923076923,500,52,75.0,21.25,9.25,13.568452380952383,365.2202380952381,351.6517857142857,700
53,75.0,23.5,12.0,-2.758035714285713,296.9589285714286,299.7169642857143,300,53,125.0,30.5,9.0,4.300000000000001,365.5923076923077,361.29230769230765,500,53,150.0,32.0,7.0,48.142857142857146,407.42857142857144,359.2857142857143,700
54,0.0,3.0,3.0,-62.0,277.6666666666667,339.6666666666667,300,54,75.0,14.0,5.75,-25.702083333333334,325.8416666666667,351.54375,500,54,75.0,19.75,7.5,-15.172420634920636,407.8275793650794,423.0,700
56,25.0,10.5,6.0,16.12857142857143,280.3571428571429,264.2285714285714,300,56,75.0,18.25,7.75,-57.05029761904762,351.17291666666665,408.2232142857143,500,56,75.0,21.0,8.5,22.942045454545454,402.4659090909091,379.52386363636367,700
58,50.0,4.666666666666667,3.0,-53.300000000000004,286.6333333333333,339.93333333333334,300,58,75.0,20.25,8.5,3.0035714285714263,355.20714285714286,352.2035714285714,500,58,75.0,17.75,7.5,-15.511309523809524,347.4970238095238,363.0083333333333,700
59,75.0,16.5,8.5,-37.01398601398601,319.8125874125874,356.8265734265734,300,59,125.0,22.5,7.0,-34.625,366.5,401.125,500,59,100.0,21.0,8.0,-1.7666666666666657,409.1000000000001,410.8666666666666,700
60,75.0,15.25,6.75,7.483766233766233,254.8051948051948,247.32142857142856,300,60,75.0,19.75,8.0,7.75,340.1041666666667,332.3541666666667,500,60,75.0,19.25,7.25,-3.108712121212121,379.4359848484849,382.54469696969693,700
62,75.0,14.5,7.5,-41.0843253968254,245.21329365079367,286.29761904761904,300,62,75.0,24.5,9.25,-40.128205128205124,315.6706730769231,355.79887820512823,500,62,100.0,24.666666666666668,7.666666666666667,-54.818518518518516,355.6666666666667,410.4851851851852,700
